Time,U1_X,U1_Y,U2_X,U2_Y,e1_X,e1_Y,e2_X,e2_Y,e3_X,e3_Y,e4_X,e4_Y,m1_X,m1_Y,m2_X,m2_Y,m3_X,m3_Y,m4_X,m4_Y,m5_X,m5_Y,m6_X,m6_Y,m7_X,m7_Y,m8_X,m8_Y,m9_X,m9_Y,m10_X,m10_Y
0.01,408.2304142,453.23624,457.2699412,317.1898203,140.1061026,273.9709785,483.1081276,78.97979064,479.0341762,242.8954438,71.09493939,210.9444436,396.9938595,479.9908734,18.01006746,424.9955676,339.9995255,378.9890102,197.0052273,328.0096786,353.9981481,16.01084299,24.00489869,48.990151,348.0104664,158.9966154,17.991908,220.0074511,383.0042495,398.010146,244.99333,222.991253
0.011,408.2513609,453.2577163,457.2944813,317.2070767,140.1157483,273.9683402,483.1179574,78.97795343,479.0372831,242.8859387,71.10357024,210.939393,396.9933013,479.9900437,18.01098269,424.9951647,339.9994824,378.9880112,197.0057025,328.0105585,353.9979797,16.01182871,24.00534403,48.98925564,348.0114178,158.9963077,17.99117236,220.0081285,383.0046359,398.0110684,244.9927236,222.9904578
0.012,408.2723076,453.2791927,457.3190214,317.224333,140.1253939,273.9657019,483.1277872,78.97611621,479.04039,242.8764336,71.11220109,210.9343424,396.992743,479.9892141,18.01189791,424.9947617,339.9994392,378.9870121,197.0061777,328.0114384,353.9978114,16.01281444,24.00578936,48.98836027,348.0123693,158.996,17.99043672,220.0088059,383.0050222,398.0119907,244.9921172,222.9896626
0.013,408.2932544,453.300669,457.3435616,317.2415894,140.1350396,273.9630636,483.137617,78.974279,479.043497,242.8669285,71.12083195,210.9292919,396.9921848,479.9883844,18.01281314,424.9943588,339.9993961,378.986013,197.0066529,328.0123182,353.997643,16.01380017,24.0062347,48.98746491,348.0133208,158.9956923,17.98970109,220.0094833,383.0054085,398.0129131,244.9915109,222.9888674
0.014,408.3142011,453.3221454,457.3681017,317.2588458,140.1446853,273.9604253,483.1474468,78.97244178,479.0466039,242.8574234,71.1294628,210.9242413,396.9916266,479.9875547,18.01372836,424.9939558,339.999353,378.985014,197.0071281,328.0131981,353.9974747,16.01478589,24.00668004,48.98656954,348.0142723,158.9953847,17.98896545,220.0101606,383.0057948,398.0138355,244.9909045,222.9880722
0.015,408.3351479,453.3436218,457.3926418,317.2761022,140.154331,273.9577869,483.1572765,78.97060457,479.0497108,242.8479183,71.13809365,210.9191907,396.9910684,479.986725,18.01464359,424.9935529,339.9993098,378.9840149,197.0076033,328.014078,353.9973063,16.01577162,24.00712537,48.98567418,348.0152238,158.995077,17.98822981,220.010838,383.0061812,398.0147578,244.9902981,222.987277
0.016,408.3560946,453.3650981,457.4171819,317.2933586,140.1639767,273.9551486,483.1671063,78.96876736,479.0528177,242.8384132,71.14672451,210.9141401,396.9905101,479.9858953,18.01555881,424.9931499,339.9992667,378.9830158,197.0080785,328.0149579,353.9971379,16.01675735,24.00757071,48.98477882,348.0161753,158.9947693,17.98749418,220.0115154,383.0065675,398.0156802,244.9896918,222.9864819
0.017,408.3770413,453.3865745,457.441722,317.310615,140.1736224,273.9525103,483.1769361,78.96693014,479.0559247,242.8289081,71.15535536,210.9090895,396.9899519,479.9850656,18.01647403,424.992747,339.9992235,378.9820168,197.0085537,328.0158377,353.9969696,16.01774307,24.00801604,48.98388345,348.0171268,158.9944616,17.98675854,220.0121928,383.0069538,398.0166025,244.9890854,222.9856867
0.018,408.3979881,453.4080508,457.4662621,317.3278714,140.1832681,273.949872,483.1867659,78.96509293,479.0590316,242.819403,71.16398621,210.904039,396.9893937,479.9842359,18.01738926,424.992344,339.9991804,378.9810177,197.0090289,328.0167176,353.9968012,16.0187288,24.00846138,48.98298809,348.0180782,158.9941539,17.9860229,220.0128701,383.0073401,398.0175249,244.988479,222.9848915
0.019,408.4189348,453.4295272,457.4908022,317.3451278,140.1929138,273.9472337,483.1965957,78.96325571,479.0621385,242.8098979,71.17261707,210.8989884,396.9888354,479.9834062,18.01830448,424.9919411,339.9991373,378.9800186,197.0095041,328.0175975,353.9966329,16.01971452,24.00890671,48.98209273,348.0190297,158.9938462,17.98528727,220.0135475,383.0077264,398.0184473,244.9878726,222.9840963
0.02,408.4398816,453.4510035,457.5153423,317.3623842,140.2025594,273.9445954,483.2064255,78.9614185,479.0652454,242.8003928,71.18124792,210.8939378,396.9882772,479.9825766,18.01921971,424.9915381,339.9990941,378.9790195,197.0099793,328.0184774,353.9964645,16.02070025,24.00935205,48.98119736,348.0199812,158.9935385,17.98455163,220.0142249,383.0081128,398.0193696,244.9872663,222.9833011
0.021,408.4608283,453.4724799,457.5398825,317.3796405,140.2122051,273.941957,483.2162552,78.95958128,479.0683524,242.7908877,71.18987877,210.8888872,396.987719,479.9817469,18.02013493,424.9911352,339.999051,378.9780205,197.0104545,328.0193572,353.9962962,16.02168598,24.00979739,48.980302,348.0209327,158.9932308,17.98381599,220.0149023,383.0084991,398.020292,244.9866599,222.9825059
0.022,408.4817751,453.4939563,457.5644226,317.3968969,140.2218508,273.9393187,483.226085,78.95774407,479.0714593,242.7813826,71.19850963,210.8838366,396.9871608,479.9809172,18.02105015,424.9907323,339.9990079,378.9770214,197.0109297,328.0202371,353.9961278,16.0226717,24.01024272,48.97940664,348.0218842,158.9929231,17.98308036,220.0155797,383.0088854,398.0212144,244.9860535,222.9817108
0.023,408.5027218,453.5154326,457.5889627,317.4141533,140.2314965,273.9366804,483.2359148,78.95590685,479.0745662,242.7718775,71.20714048,210.878786,396.9866025,479.9800875,18.02196538,424.9903293,339.9989647,378.9760223,197.011405,328.021117,353.9959594,16.02365743,24.01068806,48.97851127,348.0228357,158.9926154,17.98234472,220.016257,383.0092717,398.0221367,244.9854472,222.9809156
0.024,408.5236685,453.536909,457.6135028,317.4314097,140.2411422,273.9340421,483.2457446,78.95406964,479.0776731,242.7623724,71.21577133,210.8737355,396.9860443,479.9792578,18.0228806,424.9899264,339.9989216,378.9750233,197.0118802,328.0219969,353.9957911,16.02464315,24.01113339,48.97761591,348.0237872,158.9923078,17.98160908,220.0169344,383.0096581,398.0230591,244.9848408,222.9801204
0.025,408.5446153,453.5583853,457.6380429,317.4486661,140.2507879,273.9314038,483.2555744,78.95223243,479.0807801,242.7528673,71.22440219,210.8686849,396.9854861,479.9784281,18.02379583,424.9895234,339.9988784,378.9740242,197.0123554,328.0228767,353.9956227,16.02562888,24.01157873,48.97672054,348.0247387,158.9920001,17.98087345,220.0176118,383.0100444,398.0239815,244.9842344,222.9793252
0.026,408.565562,453.5798617,457.662583,317.4659225,140.2604336,273.9287655,483.2654042,78.95039521,479.083887,242.7433622,71.23303304,210.8636343,396.9849278,479.9775984,18.02471105,424.9891205,339.9988353,378.9730251,197.0128306,328.0237566,353.9954544,16.02661461,24.01202406,48.97582518,348.0256901,158.9916924,17.98013781,220.0182892,383.0104307,398.0249038,244.9836281,222.97853
0.027,408.5865088,453.6013381,457.6871231,317.4831789,140.2700793,273.9261271,483.2752339,78.948558,479.0869939,242.7338571,71.24166389,210.8585837,396.9843696,479.9767687,18.02562627,424.9887175,339.9987922,378.9720261,197.0133058,328.0246365,353.995286,16.02760033,24.0124694,48.97492982,348.0266416,158.9913847,17.97940217,220.0189665,383.010817,398.0258262,244.9830217,222.9777348
0.028,408.6074555,453.6228144,457.7116632,317.5004353,140.2797249,273.9234888,483.2850637,78.94672078,479.0901008,242.724352,71.25029475,210.8535331,396.9838114,479.9759391,18.0265415,424.9883146,339.998749,378.971027,197.013781,328.0255164,353.9951177,16.02858606,24.01291474,48.97403445,348.0275931,158.991077,17.97866654,220.0196439,383.0112034,398.0267486,244.9824153,222.9769397
0.029,408.6284022,453.6442908,457.7362033,317.5176916,140.2893706,273.9208505,483.2948935,78.94488357,479.0932078,242.7148469,71.2589256,210.8484826,396.9832532,479.9751094,18.02745672,424.9879116,339.9987059,378.9700279,197.0142562,328.0263962,353.9949493,16.02957179,24.01336007,48.97313909,348.0285446,158.9907693,17.9779309,220.0203213,383.0115897,398.0276709,244.981809,222.9761445
0.03,408.649349,453.6657671,457.7607435,317.534948,140.2990163,273.9182122,483.3047233,78.94304635,479.0963147,242.7053418,71.26755645,210.843432,396.9826949,479.9742797,18.02837195,424.9875087,339.9986628,378.9690289,197.0147314,328.0272761,353.9947809,16.03055751,24.01380541,48.97224373,348.0294961,158.9904616,17.97719526,220.0209987,383.011976,398.0285933,244.9812026,222.9753493
0.031,408.6702957,453.6872435,457.7852836,317.5522044,140.308662,273.9155739,483.3145531,78.94120914,479.0994216,242.6958366,71.27618731,210.8383814,396.9821367,479.97345,18.02928717,424.9871058,339.9986196,378.9680298,197.0152066,328.028156,353.9946126,16.03154324,24.01425074,48.97134836,348.0304476,158.9901539,17.97645963,220.021676,383.0123623,398.0295156,244.9805962,222.9745541
0.032,408.6912425,453.7087199,457.8098237,317.5694608,140.3183077,273.9129356,483.3243829,78.93937193,479.1025285,242.6863315,71.28481816,210.8333308,396.9815785,479.9726203,18.03020239,424.9867028,339.9985765,378.9670307,197.0156818,328.0290359,353.9944442,16.03252896,24.01469608,48.970453,348.0313991,158.9898462,17.97572399,220.0223534,383.0127486,398.030438,244.9799899,222.9737589
0.033,408.7121892,453.7301962,457.8343638,317.5867172,140.3279534,273.9102972,483.3342126,78.93753471,479.1056355,242.6768264,71.29344901,210.8282802,396.9810202,479.9717906,18.03111762,424.9862999,339.9985334,378.9660316,197.016157,328.0299157,353.9942759,16.03351469,24.01514141,48.96955763,348.0323505,158.9895385,17.97498835,220.0230308,383.013135,398.0313604,244.9793835,222.9729637
0.034,408.733136,453.7516726,457.8589039,317.6039736,140.3375991,273.9076589,483.3440424,78.9356975,479.1087424,242.6673213,71.30207987,210.8232297,396.980462,479.9709609,18.03203284,424.9858969,339.9984902,378.9650326,197.0166322,328.0307956,353.9941075,16.03450042,24.01558675,48.96866227,348.033302,158.9892309,17.97425272,220.0237082,383.0135213,398.0322827,244.9787771,222.9721685
0.035,408.7540827,453.7731489,457.883444,317.62123,140.3472448,273.9050206,483.3538722,78.93386028,479.1118493,242.6578162,71.31071072,210.8181791,396.9799038,479.9701312,18.03294807,424.985494,339.9984471,378.9640335,197.0171074,328.0316755,353.9939392,16.03548614,24.01603208,48.96776691,348.0342535,158.9889232,17.97351708,220.0243855,383.0139076,398.0332051,244.9781708,222.9713734
0.036,408.7750294,453.7946253,457.9079841,317.6384864,140.3568904,273.9023823,483.363702,78.93202307,479.1149562,242.6483111,71.31934157,210.8131285,396.9793456,479.9693016,18.03386329,424.985091,339.9984039,378.9630344,197.0175826,328.0325554,353.9937708,16.03647187,24.01647742,48.96687154,348.035205,158.9886155,17.97278144,220.0250629,383.0142939,398.0341275,244.9775644,222.9705782
0.037,408.7959762,453.8161017,457.9325242,317.6557428,140.3665361,273.899744,483.3735318,78.93018585,479.1180632,242.638806,71.32797243,210.8080779,396.9787873,479.9684719,18.03477851,424.9846881,339.9983608,378.9620354,197.0180578,328.0334352,353.9936025,16.03745759,24.01692276,48.96597618,348.0361565,158.9883078,17.97204581,220.0257403,383.0146803,398.0350498,244.976958,222.969783
0.038,408.8169229,453.837578,457.9570643,317.6729991,140.3761818,273.8971057,483.3833616,78.92834864,479.1211701,242.6293009,71.33660328,210.8030273,396.9782291,479.9676422,18.03569374,424.9842851,339.9983177,378.9610363,197.0185331,328.0343151,353.9934341,16.03844332,24.01736809,48.96508082,348.037108,158.9880001,17.97131017,220.0264177,383.0150666,398.0359722,244.9763517,222.9689878
0.039,408.8378697,453.8590544,457.9816045,317.6902555,140.3858275,273.8944674,483.3931913,78.92651142,479.124277,242.6197958,71.34523413,210.7979767,396.9776709,479.9668125,18.03660896,424.9838822,339.9982745,378.9600372,197.0190083,328.035195,353.9932657,16.03942905,24.01781343,48.96418545,348.0380595,158.9876924,17.97057453,220.0270951,383.0154529,398.0368946,244.9757453,222.9681926
0.04,408.8588164,453.8805307,458.0061446,317.7075119,140.3954732,273.891829,483.4030211,78.92467421,479.1273839,242.6102907,71.35386499,210.7929262,396.9771126,479.9659828,18.03752419,424.9834792,339.9982314,378.9590382,197.0194835,328.0360748,353.9930974,16.04041477,24.01825876,48.96329009,348.039011,158.9873847,17.96983889,220.0277724,383.0158392,398.0378169,244.9751389,222.9673974
0.041,408.8797631,453.9020071,458.0306847,317.7247683,140.4051189,273.8891907,483.4128509,78.922837,479.1304909,242.6007856,71.36249584,210.7878756,396.9765544,479.9651531,18.03843941,424.9830763,339.9981883,378.9580391,197.0199587,328.0369547,353.992929,16.0414005,24.0187041,48.96239473,348.0399624,158.987077,17.96910326,220.0284498,383.0162255,398.0387393,244.9745326,222.9666023
0.042,408.9007099,453.9234835,458.0552248,317.7420247,140.4147646,273.8865524,483.4226807,78.92099978,479.1335978,242.5912805,71.37112669,210.782825,396.9759962,479.9643234,18.03935464,424.9826734,339.9981451,378.95704,197.0204339,328.0378346,353.9927607,16.04238623,24.01914943,48.96149936,348.0409139,158.9867693,17.96836762,220.0291272,383.0166119,398.0396616,244.9739262,222.9658071
0.043,408.9216566,453.9449598,458.0797649,317.7592811,140.4244103,273.8839141,483.4325105,78.91916257,479.1367047,242.5817754,71.37975755,210.7777744,396.975438,479.9634937,18.04026986,424.9822704,339.998102,378.956041,197.0209091,328.0387145,353.9925923,16.04337195,24.01959477,48.960604,348.0418654,158.9864616,17.96763198,220.0298046,383.0169982,398.040584,244.9733198,222.9650119
0.044,408.9426034,453.9664362,458.104305,317.7765375,140.4340559,273.8812758,483.4423403,78.91732535,479.1398116,242.5722703,71.3883884,210.7727238,396.9748797,479.9626641,18.04118508,424.9818675,339.9980589,378.9550419,197.0213843,328.0395943,353.992424,16.04435768,24.02004011,48.95970863,348.0428169,158.986154,17.96689635,220.0304819,383.0173845,398.0415064,244.9727135,222.9642167
0.045,408.9635501,453.9879125,458.1288451,317.7937939,140.4437016,273.8786375,483.45217,78.91548814,479.1429186,242.5627652,71.39701925,210.7676733,396.9743215,479.9618344,18.04210031,424.9814645,339.9980157,378.9540428,197.0218595,328.0404742,353.9922556,16.0453434,24.02048544,48.95881327,348.0437684,158.9858463,17.96616071,220.0311593,383.0177708,398.0424287,244.9721071,222.9634215
0.046,408.9844969,454.0093889,458.1533852,317.8110502,140.4533473,273.8759991,483.4619998,78.91365092,479.1460255,242.5532601,71.40565011,210.7626227,396.9737633,479.9610047,18.04301553,424.9810616,339.9979726,378.9530437,197.0223347,328.0413541,353.9920872,16.04632913,24.02093078,48.95791791,348.0447199,158.9855386,17.96542507,220.0318367,383.0181572,398.0433511,244.9715007,222.9626263
0.047,409.0054436,454.0308653,458.1779253,317.8283066,140.462993,273.8733608,483.4718296,78.91181371,479.1491324,242.543755,71.41428096,210.7575721,396.9732051,479.960175,18.04393076,424.9806586,339.9979294,378.9520447,197.0228099,328.042234,353.9919189,16.04731486,24.02137611,48.95702254,348.0456714,158.9852309,17.96468944,220.0325141,383.0185435,398.0442735,244.9708944,222.9618311
0.048,409.0263903,454.0523416,458.2024655,317.845563,140.4726387,273.8707225,483.4816594,78.9099765,479.1522393,242.5342499,71.42291181,210.7525215,396.9726468,479.9593453,18.04484598,424.9802557,339.9978863,378.9510456,197.0232851,328.0431138,353.9917505,16.04830058,24.02182145,48.95612718,348.0466228,158.9849232,17.9639538,220.0331914,383.0189298,398.0451958,244.970288,222.961036
0.049,409.0473371,454.073818,458.2270056,317.8628194,140.4822844,273.8680842,483.4914892,78.90813928,479.1553463,242.5247448,71.43154267,210.7474709,396.9720886,479.9585156,18.0457612,424.9798527,339.9978432,378.9500465,197.0237603,328.0439937,353.9915822,16.04928631,24.02226678,48.95523182,348.0475743,158.9846155,17.96321816,220.0338688,383.0193161,398.0461182,244.9696816,222.9602408
0.05,409.0682838,454.0952943,458.2515457,317.8800758,140.4919301,273.8654459,483.501319,78.90630207,479.1584532,242.5152397,71.44017352,210.7424204,396.9715304,479.9576859,18.04667643,424.9794498,339.9978,378.9490475,197.0242355,328.0448736,353.9914138,16.05027204,24.02271212,48.95433645,348.0485258,158.9843078,17.96248253,220.0345462,383.0197024,398.0470406,244.9690753,222.9594456
0.051,409.0892306,454.1167707,458.2760858,317.8973322,140.5015758,273.8628076,483.5111487,78.90446485,479.1615601,242.5057346,71.44880437,210.7373698,396.9709721,479.9568562,18.04759165,424.9790468,339.9977569,378.9480484,197.0247107,328.0457535,353.9912455,16.05125776,24.02315746,48.95344109,348.0494773,158.9840001,17.96174689,220.0352236,383.0200888,398.0479629,244.9684689,222.9586504
0.052,409.1101773,454.138247,458.3006259,317.9145886,140.5112214,273.8601692,483.5209785,78.90262764,479.164667,242.4962294,71.45743523,210.7323192,396.9704139,479.9560266,18.04850688,424.9786439,339.9977138,378.9470493,197.0251859,328.0466333,353.9910771,16.05224349,24.02360279,48.95254572,348.0504288,158.9836924,17.96101125,220.0359009,383.0204751,398.0488853,244.9678625,222.9578552
0.053,409.131124,454.1597234,458.325166,317.931845,140.5208671,273.8575309,483.5308083,78.90079042,479.167774,242.4867243,71.46606608,210.7272686,396.9698557,479.9551969,18.0494221,424.978241,339.9976706,378.9460503,197.0256611,328.0475132,353.9909088,16.05322921,24.02404813,48.95165036,348.0513803,158.9833848,17.96027562,220.0365783,383.0208614,398.0498076,244.9672562,222.95706
0.054,409.1520708,454.1811998,458.3497061,317.9491013,140.5305128,273.8548926,483.5406381,78.89895321,479.1708809,242.4772192,71.47469693,210.722218,396.9692975,479.9543672,18.05033732,424.977838,339.9976275,378.9450512,197.0261364,328.0483931,353.9907404,16.05421494,24.02449346,48.950755,348.0523318,158.9830771,17.95953998,220.0372557,383.0212477,398.05073,244.9666498,222.9562649
0.055,409.1730175,454.2026761,458.3742462,317.9663577,140.5401585,273.8522543,483.5504679,78.89711599,479.1739878,242.4677141,71.48332779,210.7171674,396.9687392,479.9535375,18.05125255,424.9774351,339.9975844,378.9440521,197.0266116,328.049273,353.990572,16.05520067,24.0249388,48.94985963,348.0532833,158.9827694,17.95880434,220.0379331,383.0216341,398.0516524,244.9660434,222.9554697
0.056,409.1939643,454.2241525,458.3987863,317.9836141,140.5498042,273.849616,483.5602977,78.89527878,479.1770947,242.458209,71.49195864,210.7121169,396.968181,479.9527078,18.05216777,424.9770321,339.9975412,378.9430531,197.0270868,328.0501528,353.9904037,16.05618639,24.02538413,48.94896427,348.0542347,158.9824617,17.95806871,220.0386104,383.0220204,398.0525747,244.965437,222.9546745
0.057,409.214911,454.2456288,458.4233265,318.0008705,140.5594499,273.8469777,483.5701274,78.89344157,479.1802017,242.4487039,71.50058949,210.7070663,396.9676228,479.9518781,18.053083,424.9766292,339.9974981,378.942054,197.027562,328.0510327,353.9902353,16.05717212,24.02582947,48.94806891,348.0551862,158.982154,17.95733307,220.0392878,383.0224067,398.0534971,244.9648307,222.9538793
0.058,409.2358578,454.2671052,458.4478666,318.0181269,140.5690956,273.8443393,483.5799572,78.89160435,479.1833086,242.4391988,71.50922035,210.7020157,396.9670645,479.9510484,18.05399822,424.9762262,339.9974549,378.9410549,197.0280372,328.0519126,353.990067,16.05815784,24.02627481,48.94717354,348.0561377,158.9818463,17.95659743,220.0399652,383.022793,398.0544195,244.9642243,222.9530841
0.059,409.2568045,454.2885816,458.4724067,318.0353833,140.5787413,273.841701,483.589787,78.88976714,479.1864155,242.4296937,71.5178512,210.6969651,396.9665063,479.9502187,18.05491344,424.9758233,339.9974118,378.9400558,197.0285124,328.0527925,353.9898986,16.05914357,24.02672014,48.94627818,348.0570892,158.9815386,17.9558618,220.0406426,383.0231793,398.0553418,244.9636179,222.9522889
0.06,409.2777512,454.3100579,458.4969468,318.0526397,140.5883869,273.8390627,483.5996168,78.88792992,479.1895224,242.4201886,71.52648205,210.6919145,396.9659481,479.9493891,18.05582867,424.9754203,339.9973687,378.9390568,197.0289876,328.0536723,353.9897303,16.0601293,24.02716548,48.94538282,348.0580407,158.9812309,17.95512616,220.04132,383.0235657,398.0562642,244.9630116,222.9514937
0.061,409.298698,454.3315343,458.5214869,318.0698961,140.5980326,273.8364244,483.6094466,78.88609271,479.1926294,242.4106835,71.53511291,210.686864,396.9653899,479.9485594,18.05674389,424.9750174,339.9973255,378.9380577,197.0294628,328.0545522,353.9895619,16.06111502,24.02761081,48.94448745,348.0589922,158.9809232,17.95439052,220.0419973,383.023952,398.0571866,244.9624052,222.9506986
0.062,409.3196447,454.3530106,458.546027,318.0871525,140.6076783,273.8337861,483.6192764,78.88425549,479.1957363,242.4011784,71.54374376,210.6818134,396.9648316,479.9477297,18.05765912,424.9746144,339.9972824,378.9370586,197.029938,328.0554321,353.9893935,16.06210075,24.02805615,48.94359209,348.0599437,158.9806155,17.95365489,220.0426747,383.0243383,398.0581089,244.9617988,222.9499034
0.063,409.3405915,454.374487,458.5705671,318.1044088,140.617324,273.8311478,483.6291061,78.88241828,479.1988432,242.3916733,71.55237461,210.6767628,396.9642734,479.9469,18.05857434,424.9742115,339.9972393,378.9360596,197.0304132,328.056312,353.9892252,16.06308648,24.02850148,48.94269672,348.0608952,158.9803079,17.95291925,220.0433521,383.0247246,398.0590313,244.9611925,222.9491082
0.064,409.3615382,454.3959634,458.5951072,318.1216652,140.6269697,273.8285094,483.6389359,78.88058107,479.2019501,242.3821682,71.56100547,210.6717122,396.9637152,479.9460703,18.05948957,424.9738086,339.9971961,378.9350605,197.0308884,328.0571918,353.9890568,16.0640722,24.02894682,48.94180136,348.0618466,158.9800002,17.95218361,220.0440295,383.025111,398.0599536,244.9605861,222.948313
0.065,409.3824849,454.4174397,458.6196474,318.1389216,140.6366154,273.8258711,483.6487657,78.87874385,479.2050571,242.3726631,71.56963632,210.6666616,396.9631569,479.9452406,18.06040479,424.9734056,339.997153,378.9340614,197.0313636,328.0580717,353.9888885,16.06505793,24.02939216,48.940906,348.0627981,158.9796925,17.95144798,220.0447068,383.0254973,398.060876,244.9599797,222.9475178
0.066,409.4034317,454.4389161,458.6441875,318.156178,140.6462611,273.8232328,483.6585955,78.87690664,479.208164,242.363158,71.57826717,210.6616111,396.9625987,479.9444109,18.06132001,424.9730027,339.9971098,378.9330624,197.0318388,328.0589516,353.9887201,16.06604365,24.02983749,48.94001063,348.0637496,158.9793848,17.95071234,220.0453842,383.0258836,398.0617984,244.9593734,222.9467226
0.067,409.4243784,454.4603924,458.6687276,318.1734344,140.6559068,273.8205945,483.6684253,78.87506942,479.2112709,242.3536529,71.58689803,210.6565605,396.9620405,479.9435812,18.06223524,424.9725997,339.9970667,378.9320633,197.032314,328.0598315,353.9885518,16.06702938,24.03028283,48.93911527,348.0647011,158.9790771,17.9499767,220.0460616,383.0262699,398.0627207,244.958767,222.9459275
0.068,409.4453252,454.4818688,458.6932677,318.1906908,140.6655524,273.8179562,483.6782551,78.87323221,479.2143778,242.3441478,71.59552888,210.6515099,396.9614823,479.9427516,18.06315046,424.9721968,339.9970236,378.9310642,197.0327892,328.0607113,353.9883834,16.06801511,24.03072816,48.93821991,348.0656526,158.9787694,17.94924107,220.046739,383.0266562,398.0636431,244.9581606,222.9451323
0.069,409.4662719,454.5033452,458.7178078,318.2079472,140.6751981,273.8153179,483.6880848,78.87139499,479.2174848,242.3346427,71.60415973,210.6464593,396.960924,479.9419219,18.06406569,424.9717938,339.9969804,378.9300652,197.0332645,328.0615912,353.988215,16.06900083,24.0311735,48.93732454,348.0666041,158.9784617,17.94850543,220.0474163,383.0270426,398.0645655,244.9575543,222.9443371
