Time,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40
0.01,73.53252799,48.34943401,53.91464673,65.29477661,53.15976473,52.60211115,73.06452505,39.12051597,60.63810437,62.68051481,64.65312431,39.29211921,70.32943668,38.36903339,60.54153036,60.92391938,65.18070319,55.02269545,43.63028975,72.94302292,64.67720172,63.90170845,62.37071367,60.59215635,56.78790447,51.05174967,59.26559403,49.04432728,71.24183119,70.80527915,44.87737593,57.09538594,76.48943164,60.02022573,61.36601929,67.49096593,74.59437547,45.72955925,39.9595511,66.14722984,52.10917528,52.62354884,48.73887611,56.29086539,57.24250107,50.17227332,61.81994961,68.47937146,64.32217794,52.24431936,59.97153303,74.52880178,64.30788931,54.61305144,65.606893,56.38158279,65.96007733,63.82308889,46.42607249,44.94782155,67.6495408,59.58082527,71.76551194,33.31736647,50.8747413,57.88946966,60.91400764,51.50544937,61.68160815,67.25565924
0.011,67.21302966,64.01684927,54.65739979,58.530207,59.37193869,48.68345743,60.1976612,42.46729387,69.49735945,67.79268166,66.99282194,41.74151814,68.78247731,35.51496996,56.80036877,62.16292473,74.08474502,77.10390712,52.57880475,50.39530761,55.10659932,74.24290922,58.83544711,58.81880784,68.32838867,63.93951327,87.03472245,57.88096264,74.43035772,67.55606195,54.16450012,63.79127978,68.17681761,62.75847446,58.39768502,53.40737491,68.18801178,33.81400889,48.50035626,61.89240015,49.72370043,65.49668676,44.520368,57.4962139,35.27488098,55.3315053,76.99252135,60.94757762,58.98508573,47.61001895,63.51113022,63.23580127,57.58107825,53.14876474,68.59312367,63.28679658,53.25985256,60.54726031,44.9151113,61.08356237,66.10845,62.37612445,43.47654027,44.32640273,69.00045253,61.45022996,71.50484948,60.58150606,50.31783456,74.23249831
0.012,67.91860038,69.12762346,64.11906593,71.69361535,81.94885544,48.93421502,57.15997724,43.75657176,50.82504678,64.22408302,75.8069713,43.42069928,58.40151088,40.82483214,64.25799682,60.32511885,71.59500364,80.48276604,59.00292228,63.40721564,68.3725322,66.56984066,64.12268532,47.1949116,68.40100353,66.43357056,57.44848991,71.29640995,51.6392285,70.83040663,44.88818553,59.36948787,79.93776829,63.19673444,63.38710051,59.33556492,68.95566722,39.12182826,45.39497631,62.99498051,66.24544415,54.23442834,42.99040862,52.07346509,67.31566379,47.86350896,52.82845192,63.92409849,49.41464853,57.88220581,54.29069343,73.16308189,48.18915585,39.54884309,59.19844827,49.8902449,60.11426432,51.2339363,36.25498822,56.06943362,75.76774038,67.53115283,49.29835395,48.82408903,75.92949829,55.94176819,61.47604204,56.22565513,64.53721374,73.28775831
0.013,61.57584146,58.05842037,62.19399382,59.0424134,69.25882751,47.47719457,68.95301702,25.4039913,54.34198304,69.78066458,62.86281747,40.56825757,66.75796743,45.48421348,72.09847337,72.77224642,53.81968137,58.11365686,56.66540002,52.9504271,62.05361042,58.39123395,60.02302287,56.47202314,67.56512776,46.61078116,59.3949095,69.60364963,72.48248082,73.74618529,42.82818825,65.91237614,59.98283269,59.29742067,68.69728999,47.31669321,62.94178499,36.94587838,49.08507146,57.94505267,49.49211782,56.58738756,41.19454575,57.39962237,47.72411731,46.7231148,67.72057424,63.38398313,42.26450516,46.9583585,74.95595583,80.16066168,68.32751972,40.27883395,54.01157095,45.36201152,52.10976016,63.86525874,47.66649996,73.22169026,67.7075615,45.46913278,66.46423451,46.97528364,52.71698335,60.688718,79.13248371,48.63688495,45.77900293,67.31605579
0.014,68.55871712,57.280717,45.01695331,65.19135751,76.18271413,60.6612813,73.67802561,34.48882908,72.25275457,61.67286272,70.58590493,46.50378282,75.59373889,51.37996391,52.0418783,58.92712513,57.72146455,62.45619745,51.49999593,51.6821115,58.84367896,69.56988896,59.49157074,62.49462809,79.13111692,61.75509207,82.5099239,78.71131758,57.20915241,72.53611628,46.60200828,67.62462407,63.98193652,53.80591467,50.34400448,81.40207722,61.58316073,37.59092916,51.86101958,56.53857305,42.44714639,60.75048481,51.78072112,65.49420283,60.00682138,48.47100578,51.06289518,62.66148253,55.86214123,41.13993228,54.54766496,57.68552793,59.87731831,55.13628719,44.05561295,52.99189605,61.70673396,70.32166493,48.73654025,57.63255902,52.72553415,53.95766201,50.77139337,56.18121598,71.05073705,55.8569807,66.48800555,59.85003346,62.60453128,50.29045817
0.015,76.71134395,86.60841262,67.90702908,66.58080863,66.02192215,52.69996623,80.64109526,41.12609975,76.16316563,65.37591719,66.42656817,49.92415716,50.18628058,43.15406661,73.3968627,62.69954909,60.88601032,76.39501643,44.37207413,42.93413218,71.32570804,51.99731105,67.97036691,51.27021986,64.870982,55.78731136,66.19965563,68.66939586,63.11109983,70.46568469,46.35628944,65.95906543,62.58266206,58.82283995,64.37007349,73.23053163,69.3527527,45.34386541,56.61807714,60.73269275,44.53770072,78.15135345,38.38007086,74.50172971,65.12728916,37.80666322,55.34766424,53.29473879,55.05487687,49.10278735,38.86452743,53.21853672,52.07884194,57.60332951,40.67341105,52.39014666,58.22286505,48.39290991,48.60830118,52.50806671,70.36193937,44.5605913,54.41944803,47.64242115,67.07279375,54.52694697,71.80100159,53.91312704,70.45338068,55.98687109
0.016,57.05241642,78.34643572,60.86874886,87.52676743,73.13153996,66.16900744,64.09028247,48.7840887,69.07447244,48.27104269,68.77960582,36.6548946,62.81584033,29.98259439,63.25355997,65.89236946,63.76560216,71.63385025,47.99038437,62.85231208,55.58518847,70.45440271,63.3937714,61.13123665,65.11949274,44.40830165,64.32383362,54.89336554,72.17636976,71.04984541,44.04283811,58.69308029,48.18769025,54.65670431,71.51839218,57.06078213,74.14339614,23.24407581,49.02578797,77.24449962,44.02309096,69.5736764,27.88597289,64.6351707,59.88859373,38.37525526,56.55773696,62.40556186,59.81242488,60.95965821,60.62289328,68.0114722,61.66183721,49.09708529,64.81639995,47.99769817,65.73137105,58.30080668,50.08260874,49.06287761,61.26423941,44.04280212,57.57686322,37.13915671,65.85366741,52.85256337,48.05859012,50.04847448,59.38928654,55.01938056
0.017,48.14168544,72.36087415,69.00343874,63.22584933,57.77318742,41.6014104,67.24629476,41.78203784,62.26455014,55.51833019,62.71139655,41.70877852,67.4131737,35.260993,65.95360162,54.68853095,64.94072983,70.46696909,50.66736588,66.03013067,70.52313456,63.27489686,64.33965797,54.96113482,53.59332223,52.55608362,63.37421476,75.9401866,67.80301851,61.44140832,54.43646703,58.93911018,60.58350296,58.57811046,58.22587108,53.75226146,68.22275911,48.33608718,58.45953139,62.39034833,48.16833876,59.30667162,48.95249909,71.50257779,63.31828141,45.81926504,64.71512232,71.77643695,48.93773289,37.34947995,54.73760703,64.21283226,50.00499981,75.01673059,57.46313822,52.27985106,62.7203236,68.85795052,42.5071308,67.97316922,49.52550109,50.57906335,47.26226586,53.49297578,53.73517425,47.36166941,72.80532369,48.59813659,53.58284651,51.16992161
0.018,63.99165005,69.32313283,49.29786776,69.75420928,77.41463583,45.58393016,64.41221351,39.06670533,65.21568355,72.26393993,72.04205498,27.9895011,75.61240133,33.34365397,72.87448242,59.86929402,58.10577861,53.6951927,46.06678069,59.54206672,81.5003422,59.86894012,67.87567289,51.35203756,69.15802726,72.18565819,76.40732694,62.91244805,52.07619414,74.87992691,39.56022518,56.95187447,60.31423879,52.49540393,66.72965355,57.50235375,66.80996569,58.17066594,50.98038293,61.43980554,37.05159119,62.01200536,49.97206681,67.75806421,54.27016827,62.19275893,55.44666013,52.1548311,67.25760289,46.09854118,58.56494733,66.85554211,43.55968347,53.90489646,56.29485054,54.23674837,50.94665777,72.82892238,38.38746352,52.3665862,83.90347676,57.65407055,67.28608509,31.84680118,64.81111249,63.97865013,76.4618111,52.09348238,72.04335258,68.14934381
0.019,68.77469811,69.64431545,64.46593921,78.99184721,87.87077764,58.16229057,75.2811058,42.59776043,59.36079258,50.42043571,56.89124981,43.94623201,58.9237077,33.14180818,68.84010222,71.51836271,72.76774612,64.1947621,50.79550807,63.14148874,66.73301727,74.20022913,59.55309789,53.86830922,73.88012783,72.76345095,60.33041453,66.28848285,65.85055806,59.69809466,35.83118005,54.90239417,56.16220913,51.20962632,46.93973201,50.43760346,82.03891469,43.60575219,57.77492477,51.7557361,55.69913813,62.05004563,55.21173507,59.76579339,73.78681533,54.86020408,68.50968698,60.34036091,58.97993706,45.00792471,63.82297117,75.31193549,69.30661814,47.8377286,69.8878735,51.16718649,58.61211432,56.88286688,43.75631324,50.86615191,55.48252797,55.84970705,53.27055356,46.36259596,56.71039149,44.95958509,65.17806177,54.25488571,61.96544469,50.36197261
0.02,71.60398439,57.70990849,62.21940257,66.60517921,71.05863295,56.78888975,59.87402817,31.37054216,72.97940159,57.59977833,55.67072302,44.59715315,49.82657481,37.66286047,57.58827606,55.26176319,61.0174919,75.19884172,44.21056528,68.97332061,55.05212395,55.50786452,69.14692043,62.74706759,67.28242917,53.15110688,74.13878776,60.5267408,57.06894168,49.88679952,48.46336369,73.90215263,65.7192061,65.07186295,49.25960926,75.83626595,51.1586188,46.76929869,47.41464188,70.14061035,52.85546367,61.90287914,51.99651045,63.18654234,60.07092184,35.522518,59.40686203,56.63033435,60.51706945,54.52976194,51.94889863,64.60318242,47.27420338,50.02605274,49.24282545,52.1320378,61.84793277,55.995462,48.6216205,59.90198554,67.86524975,64.95634572,63.85604525,62.8506328,58.15262717,50.35320963,59.37857747,49.5184247,52.66827985,74.9446571
0.021,76.41815772,55.48374388,55.20513346,59.79122644,58.44428385,44.67338335,63.72398894,56.66539747,58.72802304,74.70818012,45.99469772,37.5140641,63.29685315,57.1978947,71.67565979,63.90646171,60.76310167,58.24600796,50.19995951,51.36432479,68.99746386,65.79665066,51.68268485,42.31756257,48.18713668,50.7520628,67.64916588,65.36790148,72.14967761,68.48359705,42.06080727,68.42097571,49.19180573,48.04482985,61.05974812,65.7089669,71.1856112,45.58522635,48.87430446,54.69453068,38.51705839,63.50807478,33.3089428,64.2441999,53.36519034,53.00079129,63.8465853,58.36803497,57.99402294,56.06120514,58.82855063,46.15977948,58.91433678,39.54126096,67.56778453,43.46555161,55.74252479,52.39539543,47.70220971,46.08212771,61.82951808,66.17705417,50.33810995,51.31757156,75.49969987,62.06575748,62.82936789,63.40213913,55.97558552,66.9068867
0.022,55.96118215,61.73708511,60.41881272,68.39624646,65.66968708,48.43254853,66.72028123,40.9124558,65.17458027,54.92854551,61.80556774,38.46784659,59.83608238,38.1848731,60.07861386,69.19451319,70.51809161,67.86737872,64.11012449,64.05168709,53.52119799,68.89338141,62.23167809,55.52548624,76.285348,58.69695562,58.6617759,66.57668359,70.44067551,76.53305499,41.52214458,69.11085776,71.37123067,68.49425215,60.45178361,74.67268982,68.42318679,48.72067081,50.90851919,68.86028762,49.9540273,59.29740482,46.86624061,66.62274658,53.93089343,47.23685188,74.95274841,55.79162481,68.55773435,31.93936761,56.76692798,65.37324714,56.67489274,50.96186344,57.23785219,45.1099744,64.54521215,45.40371658,31.80702446,65.93044843,66.472818,41.29906661,52.56959089,53.35823846,58.70495555,54.07445505,63.64783595,54.31706678,58.60292891,66.93095821
0.023,61.74541201,67.96985948,56.9695481,58.97758686,61.71737879,53.72737614,68.93805785,52.8051094,53.24208945,47.91912885,61.60746363,27.37951204,59.59015767,40.61557008,64.33940634,62.34791285,73.77189347,75.37763563,50.81911508,52.06282224,58.75834177,73.40502393,67.34232878,62.30383619,67.82038151,58.30917073,60.69759364,59.22525034,56.80639897,72.4441367,47.53226426,51.86982759,64.32628186,65.49244319,43.73694401,63.19306882,60.02138073,47.9549572,52.50971015,72.52621639,48.16203238,65.20912967,43.6676434,68.48373298,39.04626469,57.93584123,62.60979066,54.72328506,66.05446132,52.52074013,52.25529466,61.19858221,62.2462094,63.72230316,61.32911676,64.15119793,60.43858005,66.54202061,40.14566896,50.81279826,67.80754716,48.89828559,56.36062562,49.51628179,70.99062639,50.60141537,67.90586176,50.05007268,58.00519011,71.88859313
0.024,56.53121137,67.43837497,55.09649288,58.00935139,73.24117502,40.31045389,70.43609481,33.11255749,66.36520779,56.84196968,56.84697379,43.37310328,50.16711157,50.61638331,66.62136351,51.28628078,71.48763624,66.25353944,51.93745504,63.79692464,69.66090311,77.17774672,65.53896309,65.35057591,71.1564492,62.20778452,69.02763871,72.2005918,73.55461121,61.90870375,45.83681901,81.40360751,51.44767506,53.08850506,63.21645425,59.55051217,55.13177994,37.99067155,41.15318101,56.88341467,47.78328835,72.14996466,39.96257842,66.58141181,57.50646129,41.64633906,70.39582438,68.09870466,59.08103595,41.88845628,56.42807579,69.73898058,58.81901717,34.04299623,65.08754516,42.80203894,60.81245216,62.4979285,33.4265705,46.68618547,48.95555885,67.0790329,52.06388189,31.206117,61.92587204,59.30832553,62.43699875,61.24375126,59.74286203,58.90500119
0.025,42.72930884,60.53930765,49.76255964,65.9715276,67.01325538,63.63236013,54.59025517,27.6552523,71.01048287,64.22751143,52.05613808,48.60406351,76.42463308,48.81737919,51.42390478,76.89622125,60.76145019,67.82319394,57.52167926,53.31463356,77.38208214,56.90940575,62.90091354,63.45557442,56.62213805,68.07091163,57.15294131,67.58420095,69.44532329,66.33680153,31.30864023,65.56737191,62.18793053,52.98238556,58.94924823,66.4499081,73.84754249,42.6814869,48.74615663,76.15838764,43.43674604,58.22968737,50.10894019,61.68470435,58.45183488,51.95644733,63.84378147,72.31271494,47.06605813,45.64456714,66.72282345,77.72627474,68.61239985,52.70511668,64.58787704,49.85218885,68.44484793,57.69011412,46.8411117,78.81266384,61.89296049,62.77054885,54.54656268,41.63158258,60.68195403,53.98815084,58.87528123,52.53100443,56.13849573,66.51213059
0.026,75.74245545,56.73507987,53.76454248,61.29062163,73.15133574,56.22621334,78.14671824,52.99046634,52.31537065,61.73963493,58.91916715,49.07617968,52.69321578,36.19028995,50.57357376,58.38962912,77.73304931,73.9575867,42.37771399,67.32948263,57.46659487,52.05546944,62.41706947,50.20020642,63.52480239,79.17740396,63.61150527,66.76399454,61.48344293,68.09158636,49.68668634,66.75163281,64.52605068,53.93863252,60.25979362,74.05180836,60.12458999,36.33738321,72.30452343,72.07300036,32.34400191,65.59198858,43.71165835,58.18413148,46.30198197,43.63812544,75.97751353,67.40271363,55.87197746,41.81052471,70.64521465,69.61661445,58.49107275,57.99641426,66.26720608,47.98307415,67.36679124,62.60467096,38.06700318,67.69109642,54.07531183,63.65560733,61.63443508,38.10412152,52.98760902,50.91732698,55.79076328,58.80547208,59.44364701,60.24230688
0.027,75.52510174,73.44099322,58.71405262,75.0721801,67.25944543,58.26116735,58.95472771,27.48618015,61.50712121,67.57947861,52.82608642,39.45641093,71.01247568,41.41956991,74.19241741,50.23130012,72.50769548,58.1010246,68.75314229,60.54985068,68.70445099,68.02201746,71.5530408,59.08904277,69.08186955,39.36577175,59.1353724,67.23239231,65.71322549,63.61028559,58.20640885,71.10193234,57.99119229,53.42458798,64.63011375,59.72640323,64.46496663,59.71583328,61.53765017,77.62638696,56.964821,54.17476732,32.83444224,76.68607301,50.76345563,29.88785025,51.59310987,49.24405293,56.44834749,58.23560721,70.30454453,71.37469153,61.7865607,50.85854287,55.22825749,28.92200816,47.0785917,57.08648189,34.73965354,74.79528986,67.32544079,55.32412672,65.30899727,48.23562783,63.10656552,63.29133041,73.78900739,36.76241005,61.03442052,71.97036918
0.028,75.62630491,80.77898118,57.26491041,69.29829674,66.18682048,52.15516801,60.37498297,31.00495742,64.51772734,59.89295963,54.13504469,36.59662147,59.23598443,45.13484616,59.47894652,63.00630264,65.00721223,62.94914299,49.00591307,66.06978879,63.12036687,55.21316357,69.6474353,61.94343945,64.20558814,49.96910058,65.43351586,68.08410917,57.28054252,69.02901097,40.41307647,54.34597869,67.29915336,64.37613675,56.42686876,49.85032281,69.29307004,42.04137118,57.44466939,70.33609074,35.80129998,63.64682569,41.85819994,55.88723115,53.50122802,52.4015719,62.34005427,66.2782987,62.26492276,34.61267127,67.08197499,65.10099915,67.84239767,51.3219019,44.45566598,54.38132442,63.78546375,66.97381411,43.32073735,49.43298045,61.09989046,64.96673529,56.23814082,39.82865831,72.57057713,64.52160656,68.02590732,49.26287139,69.44547152,69.77047981
0.029,57.21910184,76.80925763,50.0922322,55.25875975,70.36622755,54.80861487,72.06996845,30.72709396,58.26695493,53.05986869,84.69100359,41.15827308,64.6721153,54.03035139,76.77888348,64.23808661,64.91059425,68.32243368,50.44198843,59.2307856,73.14028493,75.07133957,55.21208573,62.03148586,54.87690092,64.69981294,68.03658945,58.35002891,57.64598349,73.21057937,55.2183552,70.14798218,61.40622943,59.18981025,52.06836858,48.21312654,54.01125841,38.26506441,58.08941715,63.06450521,56.86095989,72.11735727,49.63843464,75.04385361,51.36668313,54.98484858,65.38342509,54.46324806,60.52423824,57.07090214,58.33276725,69.45822295,64.84312434,56.40516976,46.79046837,40.90938309,62.93300533,65.55607025,40.54100658,54.85466232,57.16106533,45.19794678,39.63275136,43.88869515,69.70005139,70.69050783,71.80795542,61.74913583,55.58800507,43.02068067
0.03,70.86641003,75.46892551,44.62009471,79.3327553,70.43634975,54.71562775,54.48060929,44.58364087,64.60182474,41.03896418,70.5341315,38.54295268,53.04074515,40.93022591,78.1281331,71.43068391,63.76120469,62.23388456,52.51497151,46.66271173,66.46092099,67.19885871,71.23059664,59.52369248,69.46044184,57.03188643,49.43977167,59.23783425,61.74524892,64.75258036,44.30740472,65.04299,80.61325541,55.51000479,63.98059701,55.62964728,61.7716379,47.65226644,57.01213172,62.62009516,66.85854431,58.56991224,52.05083336,56.25012507,56.4399433,56.38645116,52.85296579,66.87305159,54.23953374,57.89596123,61.21699203,74.64304199,68.15099349,37.43070239,68.20202492,59.43687729,70.01205063,49.00349144,47.06144076,65.79685035,54.90001354,41.29054162,70.26739461,64.96453679,71.38406092,52.20270856,71.78240781,54.21074947,62.09387624,58.36792621
0.031,56.23312236,59.08384101,57.66853516,52.99129147,69.02486799,42.2246143,61.22412673,39.0398616,74.28268421,38.8276691,74.66589544,30.39186183,67.84846153,33.25625775,51.90952323,61.02310322,60.51161839,60.63607256,46.20398718,60.94210025,72.60329451,63.60869181,66.92008992,59.46111314,59.97405975,62.62083745,68.64084671,69.77616547,51.865754,61.11197148,30.00337655,65.6905171,70.09031494,65.50551188,63.07024618,61.07607764,64.60233642,40.58152513,59.51334301,73.61020052,60.29183151,63.68053679,60.1186104,67.26242292,56.99519701,58.33253452,74.82987632,52.01324074,48.39313921,43.40149356,55.65001092,77.73578697,61.6477965,53.95947115,60.84484418,41.25521427,81.50612355,54.05185725,47.99806421,71.05435865,59.63848341,33.48569302,62.43367128,54.4614642,69.67765645,47.97203218,74.05521499,69.23608607,57.05429289,58.44758188
