Time,U1_X,U1_Y,U2_X,U2_Y,U3_X,U3_Y,U4_X,U4_Y,U5_X,U5_Y,U6_X,U6_Y,e1_X,e1_Y,e2_X,e2_Y,e3_X,e3_Y,e4_X,e4_Y,e5_X,e5_Y,e6_X,e6_Y,e7_X,e7_Y,e8_X,e8_Y,e9_X,e9_Y,e10_X,e10_Y,e11_X,e11_Y,e12_X,e12_Y,m1_X,m1_Y,m2_X,m2_Y,m3_X,m3_Y,m4_X,m4_Y,m5_X,m5_Y,m6_X,m6_Y,m7_X,m7_Y,m8_X,m8_Y,m9_X,m9_Y,m10_X,m10_Y,m11_X,m11_Y,m12_X,m12_Y,m13_X,m13_Y,m14_X,m14_Y,m15_X,m15_Y,m16_X,m16_Y,m17_X,m17_Y,m18_X,m18_Y,m19_X,m19_Y,m20_X,m20_Y,m21_X,m21_Y,m22_X,m22_Y,m23_X,m23_Y,m24_X,m24_Y,m25_X,m25_Y,m26_X,m26_Y,m27_X,m27_Y,m28_X,m28_Y,m29_X,m29_Y,m30_X,m30_Y
0.01,599.4744929,-402.6653527,-514.7921848,-564.8513767,-403.6810383,-122.6569976,431.2961642,657.0481805,-779.2748667,71.50361819,-265.3739088,142.0750177,689.048283,-179.3690633,88.29177073,-122.8360373,32.0355943,-658.4137148,-280.319589,-415.1343683,658.7928179,133.6641055,140.9174202,98.41939925,-272.7837713,608.4250441,-137.696056,55.8200572,196.166555,-671.8108093,-527.5281811,187.6186824,19.82052738,-673.3897437,-370.3302002,-545.6375429,-275.9430957,2.833865948,-401.3412462,-238.2550145,-22.20556937,693.0496001,517.8079545,-423.4352402,381.1558876,452.7152734,219.0676213,-341.7704111,29.37155612,721.2997718,155.8449614,446.8912241,-619.0921722,104.8973205,-627.0453899,-372.2365444,-171.0718979,746.8077178,-507.6382076,474.0210217,207.7843567,73.26397757,646.3366328,-284.466456,-592.2277894,115.3281634,243.4926936,395.5539209,-439.1346917,-79.57358246,-50.53790798,618.6305687,-7.723679335,-664.1033963,30.51496287,229.5919786,143.1901831,-277.5191903,704.0423152,376.6152704,253.8217143,-61.95040088,289.015248,-642.2052447,-187.8802401,136.9058753,-650.1408906,298.9064084,-29.54272811,339.8747597,201.0413808,-216.0200052,363.7287576,468.6240732,-373.9300925,508.2310874
0.011,599.4954397,-402.6438763,-514.7676446,-564.8341203,-403.6521012,-122.6649125,431.3256535,657.0426688,-779.2655459,71.47510288,-265.3480163,142.059866,689.0427007,-179.3773602,88.30092297,-122.8400667,32.03516294,-658.4237055,-280.314837,-415.1255696,658.7911343,133.6739628,140.9218736,98.41044561,-272.7742564,608.4219673,-137.7034124,55.82683096,196.1704182,-671.8015857,-527.5342448,187.6107305,19.81889945,-673.3798771,-370.3249812,-545.6290128,-275.9421276,2.8336157,-401.3410824,-238.254028,-22.20656867,693.0495626,517.808922,-423.4354932,381.156479,452.7160798,219.0675944,-341.7694115,29.37245897,721.2993418,155.8449546,446.8922241,-619.0927683,104.8981234,-627.0463415,-372.2368517,-171.0718527,746.8067188,-507.6391182,474.0206083,207.7833754,73.26378527,646.3373178,-284.4657275,-592.2267922,115.3282381,243.4929682,395.5529594,-439.1341861,-79.57271965,-50.53847484,618.6297448,-7.724631437,-664.1030905,30.51581825,229.5914606,143.189212,-277.5194289,704.0413793,376.6156228,253.8227139,-61.95037177,289.0159265,-642.2059793,-187.8803021,136.9068734,-650.1400441,298.905876,-29.54211788,339.8755519,201.0405036,-216.0204853,363.7293607,468.6232756,-373.931089,508.2310042
0.012,599.5163864,-402.6223999,-514.7431045,-564.816864,-403.6231642,-122.6728275,431.3551429,657.0371572,-779.2562252,71.44658756,-265.3221237,142.0447142,689.0371184,-179.3856571,88.31007521,-122.8440962,32.03473157,-658.4336962,-280.3100849,-415.1167708,658.7894507,133.68382,140.9263269,98.40149197,-272.7647415,608.4188904,-137.7107687,55.83360472,196.1742814,-671.7923621,-527.5403084,187.6027787,19.81727152,-673.3700105,-370.3197622,-545.6204828,-275.9411594,2.833365452,-401.3409186,-238.2530415,-22.20756797,693.0495252,517.8098894,-423.4357462,381.1570704,452.7168862,219.0675675,-341.7684119,29.37336182,721.2989119,155.8449478,446.893224,-619.0933645,104.8989262,-627.0472931,-372.2371591,-171.0718075,746.8057198,-507.6400288,474.020195,207.7823941,73.26359297,646.3380028,-284.4649989,-592.225795,115.3283129,243.4932429,395.5519979,-439.1336806,-79.57185684,-50.5390417,618.628921,-7.72558354,-664.1027847,30.51667363,229.5909426,143.1882408,-277.5196674,704.0404435,376.6159752,253.8237135,-61.95034266,289.0166051,-642.2067139,-187.8803641,136.9078715,-650.1391976,298.9053437,-29.54150765,339.8763441,201.0396264,-216.0209654,363.7299638,468.6224779,-373.9320856,508.2309211
0.013,599.5373332,-402.6009236,-514.7185644,-564.7996076,-403.5942271,-122.6807424,431.3846322,657.0316455,-779.2469044,71.41807225,-265.2962311,142.0295625,689.0315361,-179.393954,88.31922745,-122.8481257,32.03430021,-658.4436869,-280.3053328,-415.1079721,658.7877672,133.6936773,140.9307803,98.39253834,-272.7552267,608.4158135,-137.7181251,55.84037849,196.1781446,-671.7831384,-527.5463721,187.5948268,19.8156436,-673.3601439,-370.3145432,-545.6119527,-275.9401912,2.833115205,-401.3407548,-238.252055,-22.20856727,693.0494878,517.8108569,-423.4359992,381.1576617,452.7176926,219.0675406,-341.7674122,29.37426466,721.2984819,155.8449409,446.894224,-619.0939607,104.8997291,-627.0482447,-372.2374665,-171.0717623,746.8047208,-507.6409393,474.0197816,207.7814127,73.26340067,646.3386878,-284.4642704,-592.2247978,115.3283876,243.4935176,395.5510363,-439.1331751,-79.57099403,-50.53960856,618.6280972,-7.726535642,-664.1024789,30.517529,229.5904245,143.1872697,-277.519906,704.0395076,376.6163277,253.824713,-61.95031354,289.0172836,-642.2074484,-187.880426,136.9088696,-650.1383511,298.9048113,-29.54089742,339.8771364,201.0387492,-216.0214456,363.7305669,468.6216802,-373.9330821,508.2308379
0.014,599.5582799,-402.5794472,-514.6940243,-564.7823512,-403.5652901,-122.6886574,431.4141216,657.0261339,-779.2375836,71.38955693,-265.2703386,142.0144108,689.0259538,-179.4022508,88.3283797,-122.8521551,32.03386884,-658.4536776,-280.3005808,-415.0991733,658.7860836,133.7035345,140.9352337,98.3835847,-272.7457118,608.4127366,-137.7254815,55.84715225,196.1820079,-671.7739148,-527.5524358,187.586875,19.81401567,-673.3502773,-370.3093242,-545.6034226,-275.939223,2.832864957,-401.340591,-238.2510685,-22.20956656,693.0494504,517.8118244,-423.4362522,381.1582531,452.7184991,219.0675137,-341.7664126,29.37516751,721.2980519,155.8449341,446.895224,-619.0945569,104.9005319,-627.0491963,-372.2377738,-171.071717,746.8037218,-507.6418499,474.0193683,207.7804314,73.26320837,646.3393727,-284.4635418,-592.2238006,115.3284623,243.4937922,395.5500748,-439.1326695,-79.57013122,-50.54017541,618.6272734,-7.727487745,-664.1021732,30.51838438,229.5899065,143.1862986,-277.5201446,704.0385718,376.6166801,253.8257126,-61.95028443,289.0179622,-642.208183,-187.880488,136.9098676,-650.1375046,298.9042789,-29.5402872,339.8779286,201.037872,-216.0219257,363.73117,468.6208825,-373.9340787,508.2307548
0.015,599.5792267,-402.5579709,-514.6694842,-564.7650948,-403.536353,-122.6965723,431.4436109,657.0206222,-779.2282628,71.36104162,-265.244446,141.999259,689.0203716,-179.4105477,88.33753194,-122.8561846,32.03343747,-658.4636683,-280.2958287,-415.0903746,658.7844,133.7133918,140.939687,98.37463106,-272.7361969,608.4096597,-137.7328378,55.85392601,196.1858711,-671.7646911,-527.5584995,187.5789231,19.81238775,-673.3404107,-370.3041052,-545.5948926,-275.9382548,2.832614709,-401.3404272,-238.250082,-22.21056586,693.049413,517.8127918,-423.4365052,381.1588445,452.7193055,219.0674868,-341.7654129,29.37607036,721.297622,155.8449273,446.896224,-619.0951531,104.9013348,-627.0501479,-372.2380812,-171.0716718,746.8027229,-507.6427605,474.0189549,207.77945,73.26301607,646.3400577,-284.4628132,-592.2228034,115.328537,243.4940669,395.5491132,-439.132164,-79.56926841,-50.54074227,618.6264496,-7.728439848,-664.1018674,30.51923976,229.5893885,143.1853275,-277.5203832,704.037636,376.6170325,253.8267122,-61.95025532,289.0186407,-642.2089175,-187.88055,136.9108657,-650.1366581,298.9037465,-29.53967697,339.8787208,201.0369948,-216.0224058,363.731773,468.6200849,-373.9350752,508.2306716
0.016,599.6001734,-402.5364945,-514.6449441,-564.7478384,-403.5074159,-122.7044873,431.4731003,657.0151106,-779.2189421,71.33252631,-265.2185535,141.9841073,689.0147893,-179.4188446,88.34668418,-122.860214,32.03300611,-658.473659,-280.2910766,-415.0815758,658.7827165,133.7232491,140.9441404,98.36567743,-272.7266821,608.4065828,-137.7401942,55.86069977,196.1897343,-671.7554675,-527.5645631,187.5709713,19.81075982,-673.3305441,-370.2988862,-545.5863625,-275.9372867,2.832364461,-401.3402634,-238.2490955,-22.21156516,693.0493755,517.8137593,-423.4367582,381.1594358,452.7201119,219.0674599,-341.7644133,29.37697321,721.297192,155.8449205,446.8972239,-619.0957493,104.9021376,-627.0510995,-372.2383886,-171.0716266,746.8017239,-507.643671,474.0185415,207.7784687,73.26282377,646.3407427,-284.4620847,-592.2218062,115.3286117,243.4943416,395.5481517,-439.1316585,-79.5684056,-50.54130913,618.6256258,-7.72939195,-664.1015616,30.52009514,229.5888705,143.1843564,-277.5206218,704.0367001,376.6173849,253.8277118,-61.9502262,289.0193193,-642.2096521,-187.880612,136.9118638,-650.1358116,298.9032141,-29.53906674,339.879513,201.0361176,-216.0228859,363.7323761,468.6192872,-373.9360717,508.2305885
0.017,599.6211201,-402.5150181,-514.620404,-564.730582,-403.4784789,-122.7124022,431.5025896,657.009599,-779.2096213,71.30401099,-265.1926609,141.9689555,689.009207,-179.4271415,88.35583642,-122.8642435,32.03257474,-658.4836497,-280.2863246,-415.0727771,658.7810329,133.7331063,140.9485937,98.35672379,-272.7171672,608.4035059,-137.7475506,55.86747354,196.1935975,-671.7462439,-527.5706268,187.5630195,19.80913189,-673.3206775,-370.2936672,-545.5778324,-275.9363185,2.832114213,-401.3400996,-238.248109,-22.21256446,693.0493381,517.8147267,-423.4370112,381.1600272,452.7209183,219.067433,-341.7634137,29.37787605,721.2967621,155.8449137,446.8982239,-619.0963455,104.9029405,-627.0520511,-372.2386959,-171.0715814,746.8007249,-507.6445816,474.0181282,207.7774874,73.26263147,646.3414277,-284.4613561,-592.220809,115.3286864,243.4946163,395.5471902,-439.131153,-79.56754279,-50.54187599,618.624802,-7.730344053,-664.1012558,30.52095051,229.5883525,143.1833852,-277.5208604,704.0357643,376.6177374,253.8287113,-61.95019709,289.0199978,-642.2103866,-187.880674,136.9128619,-650.1349651,298.9026817,-29.53845651,339.8803053,201.0352404,-216.0233661,363.7329792,468.6184895,-373.9370683,508.2305053
0.018,599.6420669,-402.4935418,-514.5958639,-564.7133256,-403.4495418,-122.7203172,431.532079,657.0040873,-779.2003005,71.27549568,-265.1667684,141.9538038,689.0036247,-179.4354383,88.36498866,-122.8682729,32.03214338,-658.4936404,-280.2815725,-415.0639784,658.7793493,133.7429636,140.9530471,98.34777015,-272.7076523,608.400429,-137.7549069,55.8742473,196.1974608,-671.7370202,-527.5766905,187.5550676,19.80750397,-673.3108109,-370.2884482,-545.5693024,-275.9353503,2.831863966,-401.3399358,-238.2471226,-22.21356376,693.0493007,517.8156942,-423.4372642,381.1606186,452.7217247,219.0674061,-341.762414,29.3787789,721.2963321,155.8449069,446.8992239,-619.0969417,104.9037433,-627.0530027,-372.2390033,-171.0715361,746.7997259,-507.6454922,474.0177148,207.776506,73.26243916,646.3421126,-284.4606275,-592.2198117,115.3287611,243.4948909,395.5462286,-439.1306474,-79.56667998,-50.54244285,618.6239781,-7.731296155,-664.10095,30.52180589,229.5878345,143.1824141,-277.521099,704.0348284,376.6180898,253.8297109,-61.95016798,289.0206764,-642.2111212,-187.8807359,136.9138599,-650.1341186,298.9021493,-29.53784628,339.8810975,201.0343632,-216.0238462,363.7335823,468.6176918,-373.9380648,508.2304222
0.019,599.6630136,-402.4720654,-514.5713238,-564.6960692,-403.4206047,-122.7282321,431.5615683,656.9985757,-779.1909797,71.24698036,-265.1408758,141.938652,688.9980424,-179.4437352,88.3741409,-122.8723024,32.03171201,-658.5036311,-280.2768205,-415.0551796,658.7776658,133.7528209,140.9575004,98.33881652,-272.6981375,608.3973521,-137.7622633,55.88102106,196.201324,-671.7277966,-527.5827542,187.5471158,19.80587604,-673.3009443,-370.2832292,-545.5607723,-275.9343821,2.831613718,-401.339772,-238.2461361,-22.21456306,693.0492633,517.8166617,-423.4375172,381.1612099,452.7225311,219.0673792,-341.7614144,29.37968175,721.2959021,155.8449001,446.9002239,-619.0975379,104.9045461,-627.0539543,-372.2393107,-171.0714909,746.798727,-507.6464028,474.0173015,207.7755247,73.26224686,646.3427976,-284.459899,-592.2188145,115.3288358,243.4951656,395.5452671,-439.1301419,-79.56581717,-50.54300971,618.6231543,-7.732248258,-664.1006443,30.52266127,229.5873165,143.181443,-277.5213376,704.0338926,376.6184422,253.8307105,-61.95013886,289.0213549,-642.2118558,-187.8807979,136.914858,-650.1332721,298.901617,-29.53723606,339.8818897,201.033486,-216.0243263,363.7341854,468.6168941,-373.9390613,508.230339
